segment,E,N,U
rond_point_bas,-160.33968168497086,65.97583391098306,-2.8894938230514526
rond_point_bas,-160.8902035355568,67.5646400633268,-2.8846110105514526
rond_point_bas,-162.2955532670021,69.45417405990884,-2.867759108543396
rond_point_bas,-163.63277250528336,70.41862108139321,-2.849054217338562
rond_point_bas,-165.1706753373146,71.00703050522134,-2.839605212211609
rond_point_bas,-167.52843290567398,71.12512590317056,-2.8266314268112183
rond_point_bas,-169.53525358438492,70.51790239242837,-2.822379946708679
rond_point_bas,-171.63,68.882,-3.015464663505554
rond_point_bas,-172.41,67.753,-3.0259045362472534
rond_point_bas,-173.05,65.844,-3.026934504508972
rond_point_bas,-173.03,63.631,-3.002930521965027
rond_point_bas,-172.1089077591896,61.18389131454751,-2.995780825614929
rond_point_bas,-169.25827604532242,58.89373399643228,-2.7135332822799683
rond_point_bas,-166.4654751420021,58.38858796982095,-2.697459101676941
rond_point_bas,-164.32446867227554,58.83662034897134,-2.6978172063827515
rond_point_bas,-162.28255277872086,59.9949493589811,-2.937670588493347
rond_point_bas,-160.4955044388771,63.04835130600259,-2.6778968572616577
rond_point_bas,-160.33968168497086,65.97583391098306,-2.8894938230514526
