segment,E,N,U
map,-172.60313993692398,62.22753908066079,-2.754555583000183
map,-172.46043974161148,61.91489030746743,-2.7518199682235718
map,-172.29976469278336,61.61077119736001,-2.747866988182068
map,-172.12161833047867,61.317466754000634,-2.7446078062057495
map,-171.92894560098648,61.03394319443032,-2.740944266319275
map,-171.72229582071304,60.75965501694009,-2.736723780632019
map,-171.50034147500992,60.496490496676415,-2.7330559492111206
map,-171.26395231485367,60.245269793551415,-2.7301610708236694
map,-171.0134487748146,60.00743867782876,-2.7275980710983276
map,-170.74869352579117,59.78485109237954,-2.72356641292572
map,-170.47142606973648,59.57675554184243,-2.7194594144821167
map,-170.18346220254898,59.38275911239907,-2.7152122259140015
map,-169.88464933633804,59.20417405990884,-2.7133644819259644
map,-169.57585722208023,59.04165269760415,-2.713845133781433
map,-169.25827604532242,58.893733996432275,-2.7135332822799683
map,-168.9320736527443,58.762813586276025,-2.7090038061141968
map,-168.59715849161148,58.65210725693032,-2.705861449241638
map,-168.25591093301773,58.55942918686196,-2.702294707298279
map,-167.90799528360367,58.484344500582665,-2.7004894018173218
map,-167.55150419473648,58.43356706527993,-2.698905825614929
map,-167.19177824258804,58.39919664291665,-2.6961697340011597
map,-166.82935148477554,58.38441469101235,-2.696088194847107
map,-166.4654751420021,58.38858796982095,-2.697459101676941
map,-166.1015072464943,58.41228486923501,-2.699219584465027
map,-165.73904997110367,58.456600207369775,-2.6998924016952515
map,-165.37850004434586,58.520774859469384,-2.6996301412582397
map,-165.02116972208023,58.6045913877897,-2.6987065076828003
map,-164.6693325638771,58.7107925596647,-2.698959231376648
map,-164.32446867227554,58.83662034897134,-2.6978172063827515
map,-163.98996549844742,58.98215104965493,-2.6960734128952026
map,-163.6643276810646,59.147762316744775,-2.694109320640564
map,-163.34789091348648,59.330963152926415,-2.695121645927429
map,-163.04198271036148,59.53187181381509,-2.6954482793807983
map,-162.7478237748146,59.7505874815397,-2.6941689252853394
map,-162.46536833047867,59.98554231552407,-2.693799376487732
map,-162.19626432657242,60.236263293307275,-2.6922672986984253
map,-161.94168668985367,60.50244142441079,-2.6899183988571167
map,-161.70259672403336,60.78248216537759,-2.685494303703308
map,-161.47986418008804,61.07530214218423,-2.6832274198532104
map,-161.27583891153336,61.37988283066079,-2.681057333946228
map,-161.08763700723648,61.69512941269204,-2.680601477622986
map,-160.9157162308693,62.02061464218423,-2.680399775505066
map,-160.76082426309586,62.35545732406899,-2.679423689842224
map,-160.62137418985367,62.6983413877897,-2.6786078214645386
map,-160.4955044388771,63.04835130600259,-2.6778968572616577
map,-160.3850308060646,63.40480043319985,-2.6776398420333862
map,-160.28922086954117,63.76650621322915,-2.6760772466659546
map,-160.20751005411148,64.13209154037759,-2.6727203130722046
map,-160.14377409219742,64.50085832504556,-2.67019259929657
map,-160.09737211465836,64.87128831772134,-2.669211745262146
map,-160.06149870157242,65.24318315414712,-2.6710208654403687
map,-160.03706938028336,65.61570360092446,-2.671465277671814
map,-160.02475553750992,65.98746110824868,-2.667882800102234
map,-160.0239925980568,66.35718919662759,-2.662131190299988
map,-160.03630644083023,66.7244301023893,-2.6594818830490112
map,-160.0603237748146,67.08864976791665,-2.6586297750473022
map,-160.09305387735367,67.44977952865884,-2.6606920957565308
map,-160.1343441605568,67.80862047104165,-2.6614965200424194
map,-160.1864224076271,68.16492082504556,-2.66193950176239
map,-160.24791532754898,68.51750566391274,-2.660603404045105
map,-160.31693083047867,68.86683275131509,-2.6582545042037964
map,-160.3936977982521,69.21204759506509,-2.6560624837875366
map,-160.47847563028336,69.55299760727212,-2.6536449193954468
map,-160.56725126504898,69.88949968246743,-2.6504019498825073
map,-160.65878874063492,70.22246934799477,-2.647361636161804
map,-160.75642973184586,70.55036546615884,-2.6441515684127808
map,-160.8595638871193,70.87307359604165,-2.639184355735779
map,-160.96397978067398,71.19148637680337,-2.6325024366378784
map,-161.06992155313492,71.50458909897134,-2.623003840446472
map,-161.17532926797867,71.81239702133462,-2.614474654197693
map,-161.27988249063492,72.11664964584634,-2.6083468198776245
map,-161.38561064004898,72.41711046127602,-2.606833338737488
map,-161.4917202591896,72.71375657944009,-2.6064380407333374
map,-161.59787565469742,73.00671007065102,-2.6069024801254272
map,-161.70415312051773,73.29638292221352,-2.6068085432052612
map,-161.81004911661148,73.58452989486977,-2.6073073148727417
map,-161.91573148965836,73.87211229233071,-2.6075066328048706
map,-162.02051359415054,74.15915300277993,-2.6074126958847046
map,-162.1223812699318,74.44597246078774,-2.607549548149109
map,-162.21932035684586,74.73374559311196,-2.609099268913269
map,-162.31332975625992,75.02244188217446,-2.6097363233566284
map,-162.4034634232521,75.31180192856118,-2.6091665029525757
map,-162.48767668008804,75.6022606077604,-2.6090410947799683
map,-162.56799894571304,75.89389421371743,-2.6092394590377808
map,-162.64595609903336,76.1864891233854,-2.6116851568222046
map,-162.71407133340836,76.48284532455727,-2.613839030265808
map,-162.7730923295021,76.78173448471352,-2.6148675680160522
map,-162.82524687051773,77.08269884018227,-2.617505431175232
map,-162.8682308793068,77.38773729233071,-2.620231032371521
map,-162.9041958451271,77.69746019272134,-2.621684432029724
map,-162.93025785684586,78.0110511961393,-2.6207836866378784
map,-162.94292265176773,78.3287010374479,-2.6234534978866577
